catalogue_no,feature_id,feature_name_en,feature_name_vi,feature_block,feature_subblock,specification_tier,selection_origin,recommended_role,supporting_studies,source_location,formula_or_definition,required_raw_concepts,time_requirement,pu_role,expected_dtype,target_component_risk,catalogue_status,mapping_status,candidate_data_source,candidate_columns,source_authorization,coverage_overall,paired_two_year_coverage,coverage_by_year,coverage_by_board,coverage_by_industry,coverage_by_fold,denominator_diagnostics,temporal_eligibility,target_specific_leakage_decision,final_researcher_decision,decision_reason,notes
47,zhpu_per_sa,Percentage of Soft Assets (per_sa),Tỷ lệ tài sản mềm,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
48,zhpu_ch_or,Change in Operating Revenue (ch_or),Thay đổi doanh thu hoạt động,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
49,zhpu_ch_cm,Change in Cash Margin (ch_cm),Thay đổi biên tiền mặt,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
50,zhpu_ch_ra,Change in Return on Assets (ch_ra),Thay đổi tỷ suất sinh lợi trên tài sản,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
51,zhpu_ch_reot,Change in Retained Earnings over Total Assets (ch_reot),Thay đổi lợi nhuận giữ lại trên tổng tài sản,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
52,zhpu_ch_ebit,Change in EBIT (ch_ebit),Thay đổi EBIT,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
53,zhpu_ch_ni,Change in Net Income (ch_ni),Thay đổi lợi nhuận ròng,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
54,zhpu_book_to_market,Book-to-Market Ratio (Bm),Tỷ số giá trị sổ sách trên giá trị thị trường,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
55,zhpu_leverage,Leverage (Lev),Đòn bẩy tài chính,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
56,zhpu_change_leverage,Change in Leverage (de_lev),Thay đổi đòn bẩy tài chính,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
57,raw_aco,Current Assets Other Total,Tài sản ngắn hạn khác,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Current Assets Other Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: aco.
58,raw_act,Current Assets—Total,Tổng tài sản ngắn hạn,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Current Assets—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: act.
59,raw_ao,Assets—Other,Tài sản khác,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Assets—Other,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ao.
60,raw_ap,Accounts Payable—Trade,Phải trả người bán,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Accounts Payable—Trade,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ap.
61,raw_at,Assets—Total,Tổng tài sản,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Assets—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: at.
62,raw_bkvlps,Book Value Per Share,Giá trị sổ sách trên mỗi cổ phiếu,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Book Value Per Share,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: bkvlps.
63,raw_caps,Capital Surplus/Share Premium Reserve,Thặng dư vốn cổ phần,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Capital Surplus/Share Premium Reserve,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: caps.
64,raw_capx,Capital Expenditures,Chi tiêu vốn,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Capital Expenditures,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: capx.
65,raw_capxv,"Capital Expenditure—Property, Plant and Equipment Schedule",Chi tiêu vốn cho tài sản cố định hữu hình,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,"Capital Expenditure—Property, Plant and Equipment Schedule",Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: capxv.
66,raw_ceq,Common/Ordinary Equity—Total,Tổng vốn cổ phần phổ thông,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Common/Ordinary Equity—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ceq.
67,raw_ceql,Common Equity Liquidation Value,Giá trị thanh lý vốn cổ phần phổ thông,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Common Equity Liquidation Value,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ceql.
68,raw_ceqt,Common Equity Tangible,Vốn chủ sở hữu hữu hình,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Common Equity Tangible,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ceqt.
69,raw_che,Cash and Short-Term Investments,Tiền và đầu tư ngắn hạn,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Cash and Short-Term Investments,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: che.
70,raw_cogs,Cost of Goods Sold,Giá vốn hàng bán,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Cost of Goods Sold,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: cogs.
71,raw_csho,Common Shares Outstanding,Số cổ phiếu phổ thông đang lưu hành,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Common Shares Outstanding,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: csho.
72,raw_cstk,Common/Ordinary Stock Capital,Vốn cổ phần phổ thông,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Common/Ordinary Stock Capital,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: cstk.
73,raw_cstke,Common Stock Equivalents—Dollar Savings,Khoản tương đương cổ phiếu phổ thông,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Common Stock Equivalents—Dollar Savings,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: cstke.
74,raw_dcpstk,Convertible Debt and Preferred Stock,Nợ chuyển đổi và cổ phiếu ưu đãi,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Convertible Debt and Preferred Stock,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dcpstk.
75,raw_dcvt,Convertible Debt,Nợ chuyển đổi,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Convertible Debt,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dcvt.
76,raw_dd1,Long-Term Debt Due in One Year,Nợ dài hạn đến hạn trả trong một năm,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Long-Term Debt Due in One Year,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dd1.
77,raw_dlc,Debt in Current Liabilities—Total,Nợ vay trong nợ ngắn hạn,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Debt in Current Liabilities—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dlc.
78,raw_dltis,Long-Term Debt Issuance,Phát hành nợ dài hạn,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Long-Term Debt Issuance,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dltis.
79,raw_dltr,Long-Term Debt Reduction,Giảm nợ dài hạn,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Long-Term Debt Reduction,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dltr.
80,raw_dltt,Long-Term Debt—Total,Tổng nợ dài hạn,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Long-Term Debt—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dltt.
81,raw_do,Discontinued Operations,Hoạt động không tiếp tục,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Discontinued Operations,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: do.
82,raw_dp,Depreciation and Amortization,Khấu hao và phân bổ,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Depreciation and Amortization,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dp.
83,raw_dpc,Depreciation and Amortization—Cash Flow,Khấu hao và phân bổ trên báo cáo lưu chuyển tiền tệ,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Depreciation and Amortization—Cash Flow,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dpc.
84,raw_dv,Cash Dividends—Cash Flow,Cổ tức bằng tiền trên báo cáo lưu chuyển tiền tệ,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Cash Dividends—Cash Flow,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dv.
85,raw_dvc,Dividends Common/Ordinary,Cổ tức cổ phiếu phổ thông,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Dividends Common/Ordinary,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dvc.
86,raw_dvp,Dividends—Preferred/Preference,Cổ tức cổ phiếu ưu đãi,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Dividends—Preferred/Preference,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dvp.
87,raw_dvt,Dividends—Total,Tổng cổ tức,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Dividends—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: dvt.
88,raw_ebit,Earnings Before Interest and Taxes,Lợi nhuận trước lãi vay và thuế,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Earnings Before Interest and Taxes,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ebit.
89,raw_ebitda,"Earnings Before Interest, Taxes, Depreciation and Amortization",EBITDA,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,"Earnings Before Interest, Taxes, Depreciation and Amortization",Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ebitda.
90,raw_fopo,Funds from Operations Other,Dòng tiền từ hoạt động khác,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Funds from Operations Other,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: fopo.
91,raw_gp,Gross Profit (Loss),Lợi nhuận gộp,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Gross Profit (Loss),Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: gp.
92,raw_ib,Income Before Extraordinary Items,Lợi nhuận trước các khoản mục bất thường,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Income Before Extraordinary Items,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ib.
93,raw_ibadj,Income Before Extraordinary Items Adjusted for Common Stock Equivalents,Lợi nhuận trước khoản mục bất thường điều chỉnh theo cổ phiếu tương đương,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Income Before Extraordinary Items Adjusted for Common Stock Equivalents,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ibadj.
94,raw_ibc,Income Before Extraordinary Items—Cash Flow,Lợi nhuận trước khoản mục bất thường trên lưu chuyển tiền tệ,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Income Before Extraordinary Items—Cash Flow,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ibc.
